X,Y,Z
240.677720,-340.669430,748.000000
242.163731,-341.124870,749.000000
243.652850,-341.580311,750.000000
245.145078,-342.035751,751.000000
246.312435,-342.035751,751.000000
247.479793,-342.035751,751.000000
248.978238,-342.491192,752.000000
250.147150,-342.491192,752.000000
213.660622,-337.237306,743.000000
215.104663,-337.691192,744.000000
216.261140,-337.691192,744.000000
217.417617,-337.691192,744.000000
218.574093,-337.691192,744.000000
219.730570,-337.691192,744.000000
221.183938,-338.145078,745.000000
222.341969,-338.145078,745.000000
223.500000,-338.145078,745.000000
224.658031,-338.145078,745.000000
225.816062,-338.145078,745.000000
226.974093,-338.145078,745.000000
228.132124,-338.145078,745.000000
229.290155,-338.145078,745.000000
230.448187,-338.145078,745.000000
231.606218,-338.145078,745.000000
233.076684,-338.598964,746.000000
234.236269,-338.598964,746.000000
235.395855,-338.598964,746.000000
236.872539,-339.052850,747.000000
238.033679,-339.052850,747.000000
239.194819,-339.052850,747.000000
240.677720,-339.506736,748.000000
241.840415,-339.506736,748.000000
243.327979,-339.960622,749.000000
244.818653,-340.414508,750.000000
245.984456,-340.414508,750.000000
247.479793,-340.868394,751.000000
248.647150,-340.868394,751.000000
250.147150,-341.322280,752.000000
251.316062,-341.322280,752.000000
252.484974,-341.322280,752.000000
253.653886,-341.322280,752.000000
254.822798,-341.322280,752.000000
255.991710,-341.322280,752.000000
257.160622,-341.322280,752.000000
209.040933,-336.082383,743.000000
210.195855,-336.082383,743.000000
211.350777,-336.082383,743.000000
212.505699,-336.082383,743.000000
213.660622,-336.082383,743.000000
215.104663,-336.534715,744.000000
216.261140,-336.534715,744.000000
217.417617,-336.534715,744.000000
218.574093,-336.534715,744.000000
219.730570,-336.534715,744.000000
220.887047,-336.534715,744.000000
222.043523,-336.534715,744.000000
223.200000,-336.534715,744.000000
224.356477,-336.534715,744.000000
225.512953,-336.534715,744.000000
226.669430,-336.534715,744.000000
227.825907,-336.534715,744.000000
228.982383,-336.534715,744.000000
230.448187,-336.987047,745.000000
231.606218,-336.987047,745.000000
232.764249,-336.987047,745.000000
233.922280,-336.987047,745.000000
235.080311,-336.987047,745.000000
236.555440,-337.439378,746.000000
237.715026,-337.439378,746.000000
239.194819,-337.891710,747.000000
240.355959,-337.891710,747.000000
241.517098,-337.891710,747.000000
243.327979,-338.796373,749.000000
244.492228,-338.796373,749.000000
245.984456,-339.248705,750.000000
247.150259,-339.248705,750.000000
248.647150,-339.701036,751.000000
250.147150,-340.153368,752.000000
251.316062,-340.153368,752.000000
252.484974,-340.153368,752.000000
253.653886,-340.153368,752.000000
