X,Y,Z
140.768705,-130.761451,429.200000
141.897202,-131.187979,430.600000
142.963834,-131.553575,431.800000
144.167254,-132.041036,433.400000
145.308808,-132.467565,434.800000
146.521865,-132.955026,436.400000
147.604974,-133.320622,437.600000
148.895130,-133.869016,439.400000
87.901554,-118.212435,390.000000
88.643938,-118.394301,390.600000
89.296788,-118.454922,390.800000
90.042280,-118.636788,391.400000
90.696995,-118.697409,391.600000
91.398964,-118.818653,392.000000
92.055233,-118.879275,392.200000
92.712124,-118.939896,392.400000
93.417202,-119.061140,392.800000
94.027772,-119.061140,392.800000
94.686528,-119.121762,393.000000
95.442902,-119.303627,393.600000
96.152332,-119.424870,394.000000
96.813886,-119.485492,394.200000
97.574922,-119.667358,394.800000
98.288083,-119.788601,395.200000
99.002487,-119.909845,395.600000
99.768497,-120.091710,396.200000
100.536373,-120.273575,396.800000
101.255130,-120.394819,397.200000
102.026425,-120.576684,397.800000
102.799585,-120.758549,398.400000
103.418860,-120.758549,398.400000
104.247047,-121.001036,399.200000
104.972642,-121.122280,399.600000
105.646632,-121.182902,399.800000
106.374404,-121.304145,400.200000
106.996477,-121.304145,400.200000
107.833679,-121.546632,401.000000
108.511088,-121.607254,401.200000
109.352332,-121.849741,402.000000
110.141347,-122.031606,402.600000
110.877202,-122.152850,403.000000
111.724974,-122.395337,403.800000
112.575233,-122.637824,404.600000
113.483938,-122.940933,405.600000
114.283212,-123.122798,406.200000
115.197513,-123.425907,407.200000
115.887358,-123.486528,407.400000
116.692228,-123.668394,408.000000
117.556477,-123.910881,408.800000
118.481036,-124.213990,409.800000
119.292435,-124.395855,410.400000
119.930363,-124.395855,410.400000
120.862073,-124.698964,411.400000
121.501554,-124.698964,411.400000
122.437927,-125.002073,412.400000
123.258031,-125.183938,413.000000
124.080000,-125.365803,413.600000
124.843523,-125.487047,414.000000
125.790155,-125.790155,415.000000
126.557098,-125.911399,415.400000
127.386528,-126.093264,416.000000
128.279378,-126.335751,416.800000
129.236580,-126.638860,417.800000
130.196891,-126.941969,418.800000
131.035337,-127.123834,419.400000
132.001244,-127.426943,420.400000
132.970259,-127.730052,421.400000
133.942383,-128.033161,422.400000
134.790155,-128.215026,423.000000
135.767876,-128.518135,424.000000
136.620000,-128.700000,424.600000
137.732642,-129.124352,426.000000
138.589741,-129.306218,426.600000
139.709845,-129.730570,428.000000
140.703109,-130.033679,429.000000
141.831295,-130.458031,430.400000
142.897617,-130.821762,431.600000
143.967668,-131.185492,432.800000
145.175130,-131.670466,434.400000
146.387565,-132.155440,436.000000
147.604974,-132.640415,437.600000
148.895130,-133.186010,439.400000
149.918549,-133.489119,440.400000
86.511295,-117.364974,389.200000
87.205803,-117.485596,389.600000
87.901554,-117.606218,390.000000
88.598549,-117.726839,390.400000
89.296788,-117.847461,390.800000
89.950259,-117.907772,391.000000
90.696995,-118.088705,391.600000
91.398964,-118.209326,392.000000
92.055233,-118.269637,392.200000
92.712124,-118.329948,392.400000
93.417202,-118.450570,392.800000
94.027772,-118.450570,392.800000
94.638342,-118.450570,392.800000
95.491399,-118.752124,393.800000
96.152332,-118.812435,394.000000
96.813886,-118.872746,394.200000
97.624352,-119.113990,395.000000
98.288083,-119.174301,395.200000
99.052539,-119.355233,395.800000
99.818860,-119.536166,396.400000
100.536373,-119.656788,396.800000
101.306114,-119.837720,397.400000
102.026425,-119.958342,397.800000
102.747979,-120.078964,398.200000
103.418860,-120.139275,398.400000
104.247047,-120.380518,399.200000
104.867565,-120.380518,399.200000
105.646632,-120.561451,399.800000
106.321244,-120.621762,400.000000
106.996477,-120.682073,400.200000
107.779896,-120.863005,400.800000
