X,Y,Z
9.770984,-143.773057,449.000000
10.466580,-143.741036,448.900000
11.166839,-143.773057,449.000000
11.870052,-143.837098,449.200000
12.565492,-143.805078,449.100000
13.269482,-143.869119,449.300000
13.964767,-143.837098,449.200000
14.659741,-143.805078,449.100000
15.361244,-143.837098,449.200000
16.055907,-143.805078,449.100000
16.757720,-143.837098,449.200000
17.452073,-143.805078,449.100000
18.142073,-143.741036,448.900000
18.835648,-143.709016,448.800000
19.537617,-143.741036,448.900000
20.230881,-143.709016,448.800000
20.923834,-143.676995,448.700000
21.611658,-143.612953,448.500000
22.303834,-143.580933,448.400000
22.990570,-143.516891,448.200000
23.692539,-143.548912,448.300000
24.389378,-143.548912,448.300000
25.086218,-143.548912,448.300000
25.771554,-143.484870,448.100000
26.468083,-143.484870,448.100000
27.158549,-143.452850,448.000000
27.854922,-143.452850,448.000000
28.544922,-143.420829,447.900000
29.234611,-143.388808,447.800000
29.923990,-143.356788,447.700000
30.619896,-143.356788,447.700000
31.315803,-143.356788,447.700000
32.011710,-143.356788,447.700000
32.722228,-143.420829,447.900000
33.410984,-143.388808,447.800000
34.122280,-143.452850,448.000000
34.810881,-143.420829,447.900000
35.522953,-143.484870,448.100000
36.251813,-143.612953,448.500000
0.698705,-143.234456,449.500000
1.396788,-143.170725,449.300000
2.095181,-143.170725,449.300000
2.792953,-143.138860,449.200000
3.491969,-143.170725,449.300000
4.188497,-143.106995,449.100000
4.885492,-143.075130,449.000000
5.583420,-143.075130,449.000000
6.279948,-143.043264,448.900000
6.980829,-143.106995,449.100000
7.677202,-143.075130,449.000000
8.378860,-143.138860,449.200000
9.077098,-143.138860,449.200000
9.773161,-143.106995,449.100000
10.468912,-143.075130,449.000000
11.169326,-143.106995,449.100000
11.870052,-143.138860,449.200000
12.565492,-143.106995,449.100000
13.263575,-143.106995,449.100000
13.961658,-143.106995,449.100000
14.653212,-143.043264,448.900000
15.354404,-143.075130,449.000000
16.055907,-143.106995,449.100000
16.746528,-143.043264,448.900000
17.440415,-143.011399,448.800000
18.133990,-142.979534,448.700000
18.827254,-142.947668,448.600000
19.515855,-142.883938,448.400000
20.217358,-142.915803,448.500000
20.905181,-142.852073,448.300000
21.602021,-142.852073,448.300000
22.298860,-142.852073,448.300000
22.995699,-142.852073,448.300000
23.692539,-142.852073,448.300000
24.389378,-142.852073,448.300000
25.069430,-142.756477,448.000000
25.771554,-142.788342,448.100000
26.479896,-142.852073,448.300000
27.164611,-142.788342,448.100000
27.854922,-142.756477,448.000000
28.551295,-142.756477,448.000000
29.254197,-142.788342,448.100000
29.937358,-142.724611,447.900000
30.633575,-142.724611,447.900000
31.329793,-142.724611,447.900000
